ticker,ts_utc,date,year,month,o,h,l,c,v,vw,n,t,run_id,market_date,source
VTAK,2026-07-08T19:53:00Z,2026-07-08,2026,7,1.385,1.41,1.3801,1.41,224190,1.3978592747223337,428,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VTAK,2026-07-08T19:54:00Z,2026-07-08,2026,7,1.41,1.41,1.35,1.3605,159487,1.3793628352154095,596,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VTAK,2026-07-08T19:55:00Z,2026-07-08,2026,7,1.3603,1.38,1.36,1.38,77140,1.3716998431423386,374,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VTAK,2026-07-08T19:56:00Z,2026-07-08,2026,7,1.38,1.39,1.36,1.365,79039,1.3791505218942546,425,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VTAK,2026-07-08T19:57:00Z,2026-07-08,2026,7,1.365,1.4,1.36,1.39,111249,1.3851902812609551,489,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VTAK,2026-07-08T19:58:00Z,2026-07-08,2026,7,1.3899,1.4,1.38,1.3801,126548,1.3886131304327214,408,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VTAK,2026-07-08T19:59:00Z,2026-07-08,2026,7,1.3825,1.39,1.33,1.34,342211,1.3491895015063804,736,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VTAK,2026-07-08T20:00:00Z,2026-07-08,2026,7,1.37,1.37,1.33,1.3316,80310,1.356840255260864,206,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VTAK,2026-07-08T20:01:00Z,2026-07-08,2026,7,1.33,1.34,1.31,1.3101,28798,1.321403837072019,191,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VTAK,2026-07-08T20:02:00Z,2026-07-08,2026,7,1.315,1.32,1.26,1.27,133423,1.2756114283144584,387,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VTAK,2026-07-08T20:03:00Z,2026-07-08,2026,7,1.2696,1.28,1.26,1.28,78493,1.2695274151835196,252,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VTAK,2026-07-08T20:04:00Z,2026-07-08,2026,7,1.27,1.37,1.26,1.26,27966,1.270465043266824,124,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VTAK,2026-07-08T20:05:00Z,2026-07-08,2026,7,1.27,1.27,1.26,1.2656,41108,1.2649691276637152,103,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
