ticker,year_files,rows,split_non1_rows,div_non1_rows,adj_non1_rows,activation_profile
NFC,10,1992,0,1722,1722,dividend_only
NFE,8,1784,0,1352,1352,dividend_only
NGS,22,5327,0,5314,5314,dividend_only
NGVC,15,3423,0,3418,3418,dividend_only
NHTC,12,2780,0,2766,2766,dividend_only
NL,22,5327,0,5327,5327,dividend_only
NNBR,22,5327,0,3694,3694,dividend_only
NPB,2,265,0,230,230,dividend_only
NPK,22,5327,0,5327,5327,dividend_only
NRC,18,4061,0,4061,4061,dividend_only
NREF,7,1527,0,1527,1527,dividend_only
NRGY,9,2206,0,1280,1280,dividend_only
NSEC,18,2771,0,2739,2739,dividend_only
NSLP,3,651,0,567,567,dividend_only
NTI,9,1708,0,1614,1614,dividend_only
NTIP,13,2832,0,2832,2832,dividend_only
NTP,9,2037,0,1118,1118,dividend_only
NUS,22,5327,0,5321,5321,dividend_only
NUTR,14,3218,0,3069,3069,dividend_only
NVEC,22,5327,0,5303,5303,dividend_only
NXL,8,1445,0,558,558,dividend_only
NXRT,12,2749,0,2749,2749,dividend_only
OB,17,3713,0,2724,2724,dividend_only
OBCI,18,4250,0,4207,4207,dividend_only
OCC,16,3632,0,1101,1101,dividend_only
OEC,13,2921,0,2921,2921,dividend_only
OFED,16,2140,0,2137,2137,dividend_only
OFLX,22,5124,0,5124,5124,dividend_only
OLP,22,5327,0,5327,5327,dividend_only
OMP,6,1098,0,1044,1044,dividend_only
ONEW,7,1527,0,348,348,dividend_only
ONL,6,1080,0,1080,1080,dividend_only
ONTF,6,1278,0,577,577,dividend_only
OPBK,9,1996,0,1975,1975,dividend_only
OPFI,6,1162,0,933,933,dividend_only
OPI,7,1700,0,1584,1584,dividend_only
OPINL,6,1328,0,1292,1292,dividend_only
OPY,22,5322,0,5307,5307,dividend_only
ORMP,14,3287,0,3253,3253,dividend_only
ORRF,18,4234,0,4216,4216,dividend_only
OSBC,22,5326,0,5301,5301,dividend_only
OSI,7,1079,0,532,532,dividend_only
