ticker,date,rows_for_key,excess_rows
LFTR,2022-02-09,8,7
LFTR,2022-02-10,4,3
OP,2024-01-23,4,3
OP,2024-01-24,4,3
OP,2024-01-25,4,3
OP,2024-01-26,4,3
OP,2024-01-29,4,3
OP,2024-01-30,4,3
OP,2024-01-31,4,3
OP,2024-02-01,4,3
OP,2024-02-02,4,3
OP,2024-02-05,4,3
OP,2024-02-06,4,3
OP,2024-02-07,4,3
OP,2024-02-08,4,3
OP,2024-02-09,4,3
OP,2024-02-12,4,3
OP,2024-02-13,4,3
OP,2024-02-14,4,3
OP,2024-02-15,4,3
OP,2024-02-16,4,3
OP,2024-02-20,4,3
OP,2024-02-21,4,3
OP,2024-02-22,4,3
OP,2024-02-23,4,3
OP,2024-02-26,4,3
OP,2024-02-27,4,3
OP,2024-02-28,4,3
OP,2024-02-29,4,3
OP,2024-03-01,4,3
OP,2024-03-04,8,7
OP,2024-03-05,8,7
OP,2024-03-06,4,3
OP,2024-03-07,4,3
OP,2024-03-08,4,3
OP,2024-03-11,4,3
OP,2024-03-12,8,7
OP,2024-03-13,4,3
OP,2024-03-14,8,7
OP,2024-03-15,4,3
OP,2024-03-18,8,7
OP,2024-03-19,4,3
OP,2024-03-20,4,3
OP,2024-03-21,4,3
OP,2024-03-22,4,3
OP,2024-03-25,4,3
OP,2024-03-26,4,3
OP,2024-03-27,4,3
OP,2024-03-28,4,3
OP,2024-04-01,4,3
OP,2024-04-02,4,3
OP,2024-04-03,4,3
OP,2024-04-04,4,3
OP,2024-04-05,4,3
OP,2024-04-08,4,3
OP,2024-04-09,4,3
OP,2024-04-10,4,3
OP,2024-04-11,8,7
OP,2024-04-12,8,7
OP,2024-04-15,8,7
OP,2024-04-16,4,3
OP,2024-04-17,4,3
OP,2024-04-18,8,7
OP,2024-04-19,4,3
OP,2024-04-22,4,3
OP,2024-04-23,4,3
OP,2024-04-24,4,3
OP,2024-04-25,4,3
OP,2024-04-26,4,3
OP,2024-04-29,4,3
OP,2024-04-30,8,7
OP,2024-05-01,4,3
OP,2024-05-02,8,7
OP,2024-05-03,4,3
OP,2024-05-06,4,3
OP,2024-05-07,4,3
OP,2024-05-08,4,3
OP,2024-05-09,4,3
OP,2024-05-10,4,3
OP,2024-05-13,8,7
OP,2024-05-14,8,7
OP,2024-05-15,4,3
OP,2024-05-16,4,3
OP,2024-05-17,4,3
OP,2024-05-20,4,3
OP,2024-05-21,4,3
OP,2024-05-22,4,3
OP,2024-05-23,4,3
OP,2024-05-24,4,3
OP,2024-05-28,4,3
OP,2024-05-29,16,15
OP,2024-05-30,8,7
OP,2024-05-31,4,3
OP,2024-06-03,4,3
OP,2024-06-04,4,3
OP,2024-06-05,8,7
OP,2024-06-06,4,3
OP,2024-06-07,4,3
OP,2024-06-10,4,3
OP,2024-06-11,4,3
OP,2024-06-12,4,3
OP,2024-06-13,8,7
OP,2024-06-14,8,7
OP,2024-06-17,4,3
OP,2024-06-18,4,3
OP,2024-06-20,8,7
OP,2024-06-21,8,7
OP,2024-06-24,4,3
OP,2024-06-25,4,3
OP,2024-06-26,4,3
OP,2024-06-27,4,3
OP,2024-06-28,4,3
OP,2024-07-01,4,3
OP,2024-07-02,4,3
OP,2024-07-03,4,3
OP,2024-07-05,8,7
OP,2024-07-08,8,7
OP,2024-07-09,4,3
OP,2024-07-10,4,3
OP,2024-07-11,4,3
OP,2024-07-12,4,3
OP,2024-07-15,4,3
OP,2024-07-16,4,3
OP,2024-07-17,8,7
OP,2024-07-18,4,3
OP,2024-07-19,4,3
OP,2024-07-22,4,3
OP,2024-07-23,4,3
OP,2024-07-24,4,3
OP,2024-07-25,4,3
OP,2024-07-26,4,3
OP,2024-07-29,4,3
OP,2024-07-30,4,3
OP,2024-07-31,4,3
OP,2024-08-01,8,7
OP,2024-08-02,4,3
OP,2024-08-05,4,3
OP,2024-08-06,4,3
OP,2024-08-07,4,3
OP,2024-08-08,4,3
OP,2024-08-09,4,3
OP,2024-08-12,4,3
OP,2024-08-13,4,3
OP,2024-08-14,4,3
OP,2024-08-15,8,7
OP,2024-08-16,8,7
OP,2024-08-19,4,3
OP,2024-08-20,4,3
OP,2024-08-21,4,3
OP,2024-08-22,4,3
OP,2024-08-23,8,7
OP,2024-08-26,8,7
OP,2024-08-27,8,7
OP,2024-08-28,4,3
OP,2024-08-29,4,3
OP,2024-08-30,4,3
OP,2024-09-03,4,3
OP,2024-09-04,4,3
OP,2024-09-05,4,3
OP,2024-09-06,8,7
OP,2024-09-09,4,3
OP,2024-09-10,4,3
OP,2024-09-11,4,3
OP,2024-09-12,4,3
OP,2024-09-13,8,7
OP,2024-09-16,8,7
OP,2024-09-17,4,3
OP,2024-09-18,4,3
OP,2024-09-19,4,3
OP,2024-09-20,4,3
OP,2024-09-23,4,3
OP,2024-09-24,4,3
OP,2024-09-25,4,3
OP,2024-09-26,4,3
OP,2024-09-27,4,3
